species,avonet_name,community
Anas_wyvilliana,Anas wyvilliana,Historic
Gallinula_chloropus,Gallinula chloropus,Historic
Fulica_alai,Fulica alai,Historic
Himantopus_mexicanus,Himantopus mexicanus,Historic
Anous_minutus,Anous minutus,Historic
Phaethon_rubricauda,Phaethon rubricauda,Historic
Phaethon_lepturus,Phaethon lepturus,Historic
Sula_sula,Sula sula,Historic
Nycticorax_nycticorax,Nycticorax nycticorax,Historic
Puffinus_pacificus,Puffinus pacificus,Historic
Puffinus_newelli,Puffinus newelli,Historic
Phoebastria_immutabilis,Phoebastria immutabilis,Historic
Oceanodroma_castro,Oceanodroma castro,Historic
Moho_braccatus,Moho braccatus,Historic
Chasiempis_sandwichensis,Chasiempis sandwichensis,Historic
Myadestes_myadestinus,Myadestes myadestinus,Historic
Myadestes_palmeri,Myadestes palmeri,Historic
Psittirostra_psittacea,Psittirostra psittacea,Historic
Hemignathus_kauaiensis,Hemignathus kauaiensis,Historic
Hemignathus_parvus,Hemignathus parvus,Historic
Hemignathus_obscurus,Hemignathus obscurus,Historic
Hemignathus_lucidus,Hemignathus lucidus,Historic
Oreomystis_bairdi,Oreomystis bairdi,Historic
Loxops_caeruleirostris,Loxops caeruleirostris,Historic
Vestiaria_coccinea,Vestiaria coccinea,Historic
Himatione_sanguinea,Himatione sanguinea,Historic
Gygis_alba,Gygis alba,Historic
Moho_apicalis,Moho apicalis,Historic
Myadestes_woahensis,Myadestes woahensis,Historic
Hemignathus_virens,Hemignathus virens,Historic
Paroreomyza_maculata,Paroreomyza maculata,Historic
Loxops_coccineus,Loxops coccineus,Historic
Moho_bishopi,Moho bishopi,Historic
Myadestes_lanaiensis,Myadestes lanaiensis,Historic
Paroreomyza_montana,Paroreomyza montana,Historic
Paroreomyza_flammea,Paroreomyza flammea,Historic
Vestiaria_funerea,Vestiaria funerea,Historic
Palmeria_dolei,Palmeria dolei,Historic
Pterodroma_sandwichensis,Pterodroma sandwichensis,Historic
Dysmorodrepanis_munroi,Dysmorodrepanis munroi,Historic
Branta_sandvicensis,Branta sandvicensis,Historic
Pseudonestor_xanthophrys,Pseudonestor xanthophrys,Historic
Melamprosops_phaeosoma,Melamprosops phaeosoma,Historic
Porzana_sandwichensis,Porzana sandwichensis,Historic
Buteo_solitarius,Buteo solitarius,Historic
Moho_nobilis,Moho nobilis,Historic
Chaetoptila_angustipluma,Chaetoptila angustipluma,Historic
Corvus_hawaiiensis,Corvus hawaiiensis,Historic
Myadestes_obscurus,Myadestes obscurus,Historic
Loxioides_bailleui,Loxioides bailleui,Historic
Rhodacanthis_flaviceps,Rhodacanthis flaviceps,Historic
Rhodacanthis_palmeri,Rhodacanthis palmeri,Historic
Chloridops_kona,Chloridops kona,Historic
Hemignathus_sagittirostris,Hemignathus sagittirostris,Historic
Hemignathus_munroi,Hemignathus munroi,Historic
Oreomystis_mana,Oreomystis mana,Historic
Ciridops_anna,Ciridops anna,Historic
Vestiaria_pacifica,Vestiaria pacifica,Historic
Hemignathus_ellisana,Hemignathus ellisana,Historic
Hemignathus_lanaiensis,Hemignathus lanaiensis,Historic
Hemignathus_stejnegeri,Hemignathus stejnegeri,Historic
Orthiospiza_howarthi,Orthiospiza howarthi,Historic
Hemignathus_flavus,Hemignathus flavus,Historic
